,words,sentiments
0,drag,Negative
1,dull,Negative
2,easy,Positive
3,fine,Positive
4,fit,Positive
5,free,Positive
6,fuck,Negative
7,hard,Negative
8,high,Positive
9,monkey,Negative
10,weak,Negative
11,bad belle,Negative
12,bad mouth,Negative
13,drag,Negative
14,dull,Negative
15,fine,Positive
16,fit,Positive
17,free,Positive
18,fuck,Negative
19,high,Positive
20,monkey,Negative
21,wan,Negative
22,half time goal neva show face for dis cup match but ref don fire whistle for half time ,Negative
23,half time demiral and ronaldo bin tear net early for di visitors as dem dey lead enta break ,Negative
24,torino bin win 2 kondo as belotti score dia two goals  our next one go beta  forza roma ,Positive
25,so una dull am throughout 2019  nobody reason say na dis pesin be roma pidgin admin,Negative
26,art can be powerful  but we strongly disagree with the use of monkeys as images in the fight against racism and were surprised ,Positive
27, we don get wetin we want   to qwalify   but i must use my church mind talk say we no play well  we know say e important say make we win but we no play wit sabiness today     oga paulo fonseca,Positive
28,na florenzi touch di ball lass before e enta  na own goal   ,Positive
29,full time thuram tear net for dying minute to take win am for our opponents afta fazio score goal for di two posts dem ,Positive
30,half time own goal wey fazio score na hin still separate us for hia  second half go beta   ,Positive
31,35  borussia mönchengladbach don tear net as fazio put ball for hin own net  1  0 ,Positive
32,as e dey hot veretout tear net wit penarity  no wasting of time  2   0,Positive
33,napoli we dey enjoy beta possession and we don near post like 3 times but we still neva shoot ball put for target  anyhow yagayaga  dat goal dey com soon sha ,Positive
34, my players get beta swagger  we all bin fight togeda and we try dey play our normal game go  even afta we chop red card     oga paulo fonseca,Negative
35,na laidis we dey enta di new week   ,Positive
36,juss shake ontop am    but wash your hand afta becos of dabaru wey still fresh for mind,Positive
37,   full time wuru wuru penarity wey dem dash for dying minute make di match end for draw  we match on sha ,Positive
38,hayzzzz  wey you  carry your mata go give no give us bad luck join di one wey dey worry us   ,Negative
39,  half time fess half no bad at all  pedro bin open goal for cagliari from penarity spot and ceppitelli score for hin net to eqwalise for roma ,Positive
40,na veri sad news be dis our mind dey wit di family and all naija pipu  rip isaac promise,Negative
41,henrikh mkhitaryan don get thigh wounjur and hin no fit tap ball for three weeks as hin go dey recover  sharpaly com back  mkhi,Negative
42,yes  we know  but you also know say na at your risk  even the betting company wey you carry your money give dey yarn you say na your risk   ,Negative
43,no be small somtin,Negative
44,guy  you no try o you just make us mute com throway di remote,Negative
45, make we talk wit church mind  we no plum today  atalanta beta pass us dis night  we nid learn from am and continue to dey work hard to do beta     oga paulo fonseca,Negative
46, i dey happy say i make my debut but my belle no sweet onto say we no win  we nid try make we no dey dull oursef for house laidis for matches wey remain dis season     smalling,Negative
47, na all of dem com dia complete  and dem all sidon wit coole mind i serve dem shayo  all man get wetin dem dey drink  we com send you invite  you no com  your bad belle and stubborn head na hin no make you com becos if pesin dey jolli onto say somtin sweet hapun you no dey happy ,Positive
48,how you wan take catch breeze wit your hand     ,Negative
49,loud am,Positive
50,one win no go win di league  so we don dey training ground again   ,Positive
51,as roma pidgin admin dey com tweet somtin wey sweet about di club but sassuolo tear net     4  1 ,Positive
52,when international break dey for your tv but you no fit stop to dey reason fixtures of club football for weekend,Negative
53,oga paulo fonseca   chris smalling don get one shikini groin wounjur laidat and e no tey wey e hapun  e no serious at all but we no go risk am say make hin play dis weekend  we want make hin fit wella  amp  we get plenti matches afta dis one wey we nid evribodi for  ,Positive
54,   full time di game sweet wella but na one point we see carry comot for olimpico  kolarov give us lead wit penarity befor luis alberto eqwalise ,Positive
55,ℹ  update to team tori davide zappacosta bin wounjur during warm up   so justin kluivert go start di match for  ,Positive
56,today na drop more  ,Positive
57,you no even know your own handle    ,Positive
58,  fire hot shot from outside box 18 wit shaolin temple style but goaliekeeper push am comot  ,Positive
59,squad goals wolves dey always waka togeda when dem wan achieve somtin,Negative
60,players don enta field back  second half don start so  oga paulo neva comot any player for half time  1  0 ,Negative
61,you fit chook eyes for,Positive
62,ht  5  0  tor sapienza leonardo spinazzola don tear net for di fess time for roma as emanuele spinozzi and patrik schick also score befor referee fire whistle for half time ,Negative
63,haqhaqhaqhaq bbc  next time afta una don joke una suppose let evribodi know say na joke una dey  which pidgin wan sweet pass again ,Positive
64,since we don launch di missing pikins transfer announcement for our social media lungu on june 30  we don show 3 4  different pikins wey don loss  amp  dem pipu miss dem  no mata how long dem don loss  nobodi fit forget dem ,Positive
65,lagos traffic too mad  chai  you go dey go slow for like 3 hours and you go reach wia e start and you go see notin e dey mad pesin  nawa o   ,Negative
66,no o  you wan make barcelona vex for us say we chop dia eye again ,Negative
